Years,Months,Average of Charging Time (hh:mm:ss),Average of Energy (kWh),Average of GHG Savings (kg),Sum of Gasoline Savings (gallons)
2019,9,0.082165408,9.329990279,3.918590728,4697.697
2019,10,0.084551723,9.601764321,4.032743798,5343.049
2019,11,0.0844649,9.612707821,4.037333005,4905.218
2019,12,0.080533218,9.332309555,3.919569887,4449.399
2020,1,0.084878075,9.698923215,4.073542896,5405.642
2020,2,0.083750944,9.620149866,4.040469368,4946.425
2020,3,0.084310837,9.727302244,4.085458853,2447.655
2020,4,0.084633551,9.994817248,4.197843943,610.88
2020,5,0.085599567,10.13190711,4.255412192,876.089
2020,6,0.084353458,9.991322374,4.196356164,1373.038
2020,7,0.076142243,9.250103685,3.885055698,1354.769
2020,8,0.08434824,9.66627381,4.059836735,1426.624
2020,9,0.08396614,9.847391375,4.135903173,1518.865
2020,10,0.085763324,10.16735518,4.270291639,1907.627
2020,11,0.084379385,10.39644342,4.366523051,1556.553
2020,12,0.089400547,10.74998919,4.514989194,1373.405
